ds,yhat,yhat_lower,yhat_upper
2023-03-03,13344.774847617926,1879.3993608481603,24054.72715221395
2023-03-04,10254.81462452233,-1740.530381974102,22700.739181259185
2023-03-05,12458.265471295987,721.5667231920021,24662.118655795584
2023-03-06,11227.302490295024,414.6404770461169,22785.60599141996
2023-03-08,9903.380041049686,-1889.046776667847,21117.895723369857
2023-03-09,12961.417150727695,912.2745753815835,23365.065376286067
2023-03-10,14003.588955287838,1525.7362987049878,25760.99043233406
2023-03-11,11100.686834438407,-179.33035264631195,22354.484675909833
2023-03-13,12362.382974269589,1021.5374891911142,24509.50631889901
2023-03-14,13926.015440209381,2123.5896525972225,25485.03743758133
2023-03-15,11205.155530397073,71.1696971617408,22913.207910267538
2023-03-16,14300.53220240805,2812.59623607794,25666.032646690768
2023-03-17,15351.071562491594,4641.890151201252,26755.112542171275
2023-03-18,12429.808269198042,1190.589873828717,24272.47186527737
2023-03-19,14750.522932690688,3636.188456808229,26032.97291357577
2023-03-20,13586.75058109946,2700.0127653633117,24707.883000117596
2023-03-21,15071.29498427338,3488.329637648353,26161.248608166246
2023-03-22,12258.95817972408,2090.165793872454,23109.000591300624
2023-03-23,15254.731451755835,3879.8845965360756,26326.02635235228
2023-03-24,16201.789593345886,4760.018378959349,27629.131134392894
2023-03-25,13177.263311149012,626.3874699822468,24698.74459939961
2023-03-26,15398.74652706223,4626.82708609765,25666.947085337506
2023-03-27,14143.187594047315,2177.7378259169723,25464.37491288128
2023-03-28,15546.302692656489,4342.2829302682,27053.192063824932
2023-03-29,12665.223659813182,1260.2290864010745,23748.15742126222
2023-03-30,15606.628753698995,3899.028213632861,26782.988161966554
2023-03-31,16514.699721935547,5422.431637863453,27522.746322784966
2023-04-02,15680.396518518734,4332.443632671483,26916.351342071444
2023-04-03,14431.176252618021,2561.180704805083,24554.580652366178
2023-04-04,15853.322860353797,4853.261287362643,27097.362731347534
2023-04-05,13001.83495099258,1295.4418484587618,23924.020601081946
2023-04-06,15980.828869500816,4183.247218392214,26611.279288879483
2023-04-07,16931.600392636094,4726.7737322047,27701.001434039168
2023-04-08,13928.498141501363,2567.4365250766114,24985.369653551512
2023-04-09,16185.56153913165,4968.486141723087,27889.06424524765
2023-04-11,16429.61851095034,5479.659988762152,27770.192287967286
2023-04-12,13599.978281060947,2099.3648139343877,25247.409624666816
2023-04-13,16588.396836059157,4478.981227274239,28053.35032869978
2023-04-14,17534.261889236317,7714.460617783653,29159.341765941936
2023-04-15,14510.545467599159,2392.598233964544,25256.426813603804
2023-04-16,16730.49627024773,5150.888201970065,28792.41394152444
2023-04-17,15466.720186063158,3727.8754863103472,26188.355425103906
2023-04-18,16850.780585366396,6089.895362745751,28131.715496336965
2023-04-19,13936.024132820135,2759.9388611114464,25016.817553520585
2023-04-20,16825.87448438466,5674.755727289117,27552.30342033854
2023-04-21,17661.93164957237,6511.504298871362,28154.420393299013
2023-04-22,14519.847814532664,2610.1756854014743,26187.802942482962
2023-04-23,16615.932434442322,6100.79605883831,27554.76961610582
2023-04-24,15226.131919076031,4119.985414207584,27216.86673393918
2023-04-25,16485.51886167113,4873.202003549799,27826.582676514296
2023-04-26,13451.00023014199,2313.103877489223,24165.316182405924
2023-04-27,16229.4907704889,5601.51151470175,27388.91424038872
2023-04-28,16965.893385002313,5447.671884416017,28893.212732109343
2023-04-29,13738.861231087783,2118.185601592472,24001.044238094466
2023-04-30,15767.298123169263,4686.160058558254,27526.56539235488
2023-05-02,15561.298022617804,4449.048729546378,26848.383159306977
2023-05-03,12521.247788771465,1139.4987917046087,23515.937864725896
2023-05-04,15316.225518569538,3820.2897730012946,26580.432924153556
2023-05-05,16090.661783806263,4552.710227291159,27096.031447384677
2023-05-07,15027.504035705837,4078.966646526727,27462.57079406069
